订单ID,客户ID,产品ID,日期,活动ID,数量,单价,总金额,利润,折扣率
O00019727,C999993868924,P045,2023-09-15,,1,241.13,241.13,97.98,0.0
O00019728,C999993868924,P021,2023-04-29,,1,1159.13,1159.13,499.41,0.0
O00019729,C999993868924,P032,2024-01-01,M006,1,662.69,583.17,282.95,0.12
O00019730,C999993868924,P015,2024-08-02,,1,186.9,186.9,70.67,0.0
O00019731,C999993868924,P042,2024-01-02,M006,1,433.83,381.77,198.88,0.12
O00019732,C999993868924,P043,2024-06-30,,1,270.18,270.18,118.72,0.0
O00019733,C999993868924,P037,2024-04-02,,1,650.09,650.09,303.95,0.0
O00019734,C999993872408,P034,2023-09-17,,1,155.81,155.81,49.84,0.0
O00019735,C999993872408,P043,2024-04-28,,2,222.04,444.08,208.05,0.0
O00019736,C999993872408,P042,2023-04-22,,1,422.88,422.88,140.37,0.0
O00019737,C999993872408,P009,2023-09-23,,1,245.69,245.69,97.89,0.0
O00019738,C999993872408,P022,2023-10-23,,1,1091.81,1091.81,431.45,0.0
O00019739,C999993872408,P022,2024-07-31,,1,1456.96,1456.96,437.38,0.0
O00019740,C999993872408,P008,2023-08-22,M003,1,434.52,391.07,135.57,0.1
O00019741,C999993872408,P033,2023-06-30,,1,72.93,72.93,24.68,0.0
O00019742,C999993872408,P031,2023-05-20,,1,937.0,937.0,282.78,0.0
O00019743,C999993872384,P028,2023-08-23,,1,202.59,202.59,91.75,0.0
O00019744,C999993872384,P035,2023-10-15,,1,678.93,678.93,309.56,0.0
O00019745,C999993872384,P016,2023-01-14,,1,581.34,581.34,272.41,0.0
O00019746,C999993872384,P036,2024-04-05,,1,60.83,60.83,20.55,0.0
O00019747,C999993872384,P040,2024-01-25,,1,125.93,125.93,54.25,0.0
O00019748,C999993872384,P021,2023-07-25,,1,1316.43,1316.43,455.3,0.0
O00019749,C999993872384,P001,2023-12-17,,1,452.53,452.53,172.58,0.0
O00019750,C999993872384,P011,2023-04-10,,1,585.48,585.48,232.67,0.0
O00019751,C999993872384,P035,2024-05-21,,2,484.6,969.2,415.02,0.0
O00019752,C999993872384,P050,2023-12-02,,1,932.33,932.33,389.38,0.0
O00019753,C999993872384,P017,2023-07-11,,2,590.74,1181.48,453.86,0.0
O00019754,C999993872384,P012,2024-03-11,,1,246.82,246.82,112.85,0.0
O00019755,C999993872384,P042,2024-01-18,,1,369.58,369.58,177.55,0.0
O00019756,C999993872384,P038,2024-06-27,,1,170.36,170.36,78.26,0.0
O00019757,C999993872384,P008,2023-11-03,M004,1,440.25,330.19,218.33,0.25
O00019758,C999993872340,P008,2023-04-09,,1,346.52,346.52,113.77,0.0
O00019759,C999993872340,P020,2024-04-26,,2,83.26,166.52,72.92,0.0
O00019760,C999993872340,P010,2023-07-16,,1,49.42,49.42,16.36,0.0
O00019761,C999993872340,P012,2023-12-22,,1,289.08,289.08,100.28,0.0
O00019762,C999993872340,P008,2023-06-18,M002,1,371.72,297.38,147.26,0.2
O00019763,C999993872340,P033,2023-08-27,,2,71.79,143.58,58.98,0.0
O00019764,C999993872340,P031,2024-07-14,,1,814.43,814.43,323.23,0.0
O00019765,C999993872340,P016,2024-08-25,,1,490.09,490.09,212.24,0.0
O00019766,C999993872340,P040,2024-03-29,,1,136.33,136.33,64.78,0.0
O00019767,C999993868957,P012,2024-09-07,,1,251.82,251.82,124.38,0.0
O00019768,C999993868957,P015,2024-06-12,,1,172.79,172.79,60.0,0.0
O00019769,C999993868957,P042,2024-08-07,,2,391.22,782.44,356.58,0.0
O00019770,C999993868957,P010,2023-03-16,M001,2,56.67,96.34,42.96,0.15
O00019771,C999993868957,P001,2024-04-10,,1,424.46,424.46,208.38,0.0
O00019772,C999993868957,P023,2023-05-16,,1,199.46,199.46,76.87,0.0
O00019773,C999993872328,P049,2023-12-07,M005,1,796.95,653.5,241.5,0.18
O00019774,C999993872328,P006,2023-05-17,,1,410.33,410.33,133.69,0.0
O00019775,C999993872328,P015,2023-02-11,,1,195.76,195.76,92.68,0.0
O00019776,C999993872328,P019,2023-03-29,M001,1,257.55,218.92,82.85,0.15
O00019777,C999993872328,P045,2023-10-17,,2,230.3,460.6,224.85,0.0
O00019778,C999993872328,P039,2023-10-24,,1,230.86,230.86,103.53,0.0
O00019779,C999993872317,P022,2024-07-06,,1,1242.61,1242.61,385.26,0.0
O00019780,C999993872317,P017,2023-11-04,M004,2,535.97,803.96,451.14,0.25
O00019781,C999993872317,P047,2024-05-31,,2,340.45,680.9,235.71,0.0
O00019782,C999993872317,P023,2024-01-08,,1,144.42,144.42,62.94,0.0
O00019783,C999993872317,P045,2023-07-10,,1,268.36,268.36,132.33,0.0
O00019784,C999993872317,P005,2024-02-10,M007,1,223.92,206.01,96.41,0.08
O00019785,C999993872317,P045,2023-12-21,,1,200.1,200.1,92.27,0.0
O00019786,C999993872317,P039,2023-03-24,M001,1,204.53,173.85,77.41,0.15
O00019787,C999993872317,P028,2023-05-09,,1,205.12,205.12,100.09,0.0
O00019788,C999993872317,P009,2023-08-08,,1,255.7,255.7,81.4,0.0
O00019789,C999993872317,P036,2024-06-09,,1,50.07,50.07,17.66,0.0
O00019790,C999993872317,P046,2023-05-21,,1,245.3,245.3,80.57,0.0
O00019791,C999993872317,P015,2023-09-29,,1,192.8,192.8,60.66,0.0
O00019792,C999993872317,P003,2024-01-18,,1,593.76,593.76,271.87,0.0
O00019793,C999993872317,P028,2024-04-19,,1,208.24,208.24,102.64,0.0
O00019794,C999993872317,P012,2024-02-12,M007,2,294.85,542.52,279.01,0.08
O00019795,C999993872317,P027,2024-09-02,,1,324.78,324.78,109.75,0.0
O00019796,C999993872317,P047,2024-05-01,,1,337.84,337.84,104.47,0.0
O00019797,C999993872317,P011,2023-11-06,M004,1,567.12,425.34,196.47,0.25
O00019798,C999993872317,P005,2024-09-16,,1,224.93,224.93,77.03,0.0
O00019799,C999993872306,P005,2023-01-30,,1,291.21,291.21,124.89,0.0
O00019800,C999993872306,P040,2023-03-09,M001,1,126.73,107.72,54.8,0.15
O00019801,C999993872306,P034,2023-04-11,,1,166.56,166.56,61.53,0.0
O00019802,C999993872306,P031,2023-08-07,,1,780.28,780.28,379.75,0.0
O00019803,C999993872306,P011,2024-01-19,,2,600.46,1200.92,437.28,0.0
O00019804,C999993872306,P001,2023-04-13,,1,477.97,477.97,185.79,0.0
O00019805,C999993872306,P029,2024-03-06,,2,333.76,667.52,223.3,0.0
O00019806,C999993872306,P004,2023-02-17,,2,422.82,845.64,366.78,0.0
O00019807,C999993872306,P048,2023-06-26,,2,959.42,1918.84,593.63,0.0
O00019808,C999993872306,P028,2023-03-26,M001,1,229.13,194.76,96.35,0.15
O00019809,C999993872306,P028,2023-10-05,,1,258.94,258.94,107.9,0.0
O00019810,C999993872306,P011,2024-03-20,,1,688.35,688.35,317.81,0.0
O00019811,C999993872306,P002,2023-05-18,,2,415.69,831.38,342.88,0.0
O00019812,C999993872306,P030,2023-09-04,,1,895.58,895.58,440.66,0.0
O00019813,C999993872306,P010,2024-06-17,,1,49.76,49.76,21.03,0.0
O00019814,C999993872293,P046,2023-03-30,,1,249.77,249.77,78.07,0.0
O00019815,C999993872293,P045,2023-08-18,M003,1,227.5,204.75,101.49,0.1
O00019816,C999993872293,P028,2023-01-18,,1,267.18,267.18,99.61,0.0
O00019817,C999993872282,P044,2024-02-22,,1,1192.86,1192.86,416.25,0.0
O00019818,C999993872282,P003,2023-03-14,M001,1,475.07,403.81,201.95,0.15
O00019819,C999993872282,P033,2024-07-27,,1,78.11,78.11,27.38,0.0
O00019820,C999993872282,P034,2023-12-30,,1,222.94,222.94,71.13,0.0
O00019821,C999993872282,P035,2023-07-04,,1,605.4,605.4,277.71,0.0
O00019822,C999993872282,P028,2023-05-30,,2,191.71,383.42,135.06,0.0
O00019823,C999993872282,P038,2023-09-05,,1,191.4,191.4,71.87,0.0
O00019824,C999993872282,P023,2023-09-28,,1,136.53,136.53,45.04,0.0
O00019825,C999993872282,P034,2023-08-09,,1,166.54,166.54,64.58,0.0
O00019826,C999993868968,P026,2024-07-15,,1,183.13,183.13,73.72,0.0
O00019827,C999993868968,P029,2024-03-12,,2,310.34,620.68,307.4,0.0
O00019828,C999993868968,P008,2024-01-29,,1,366.52,366.52,153.83,0.0
O00019829,C999993868968,P001,2023-04-17,,1,425.37,425.37,145.6,0.0
O00019830,C999993868968,P047,2024-01-05,M006,2,326.65,574.9,296.15,0.12
O00019831,C999993868968,P019,2024-07-28,,1,266.53,266.53,97.41,0.0
O00019832,C999993868968,P010,2023-03-19,,1,54.6,54.6,21.66,0.0
O00019833,C999993868968,P041,2023-01-23,,1,347.06,347.06,106.77,0.0
O00019834,C999993868968,P034,2023-03-31,M001,1,196.97,167.42,94.91,0.15
O00019835,C999993868968,P037,2023-03-01,M001,1,960.25,816.21,421.56,0.15
O00019836,C999993868968,P028,2023-06-05,M002,1,207.88,166.3,83.88,0.2
O00019837,C999993868968,P024,2023-09-06,,1,219.79,219.79,101.7,0.0
O00019838,C999993868968,P034,2023-03-11,M001,1,167.88,142.7,55.54,0.15
O00019839,C999993868968,P008,2023-03-21,M001,1,461.24,392.05,145.36,0.15
O00019840,C999993868968,P012,2023-06-25,,1,332.78,332.78,151.86,0.0
O00019841,C999993868980,P033,2023-04-02,,1,84.82,84.82,35.24,0.0
O00019842,C999993868980,P035,2023-09-25,,1,474.12,474.12,197.73,0.0
O00019843,C999993868980,P003,2023-07-31,,1,475.25,475.25,208.46,0.0
O00019844,C999993868980,P043,2023-02-02,,1,309.18,309.18,119.13,0.0
O00019845,C999993868980,P041,2023-01-22,,1,363.05,363.05,109.14,0.0
O00019846,C999993868980,P010,2023-09-07,,2,65.37,130.74,60.44,0.0
O00019847,C999993868980,P048,2024-06-06,,2,1017.99,2035.98,705.7,0.0
O00019848,C999993868980,P037,2023-02-08,,1,686.2,686.2,256.63,0.0
O00019849,C999993868980,P012,2023-04-01,,1,293.64,293.64,103.91,0.0
O00019850,C999993872215,P004,2023-08-30,,1,403.99,403.99,123.0,0.0
O00019851,C999993872215,P011,2023-09-29,,1,778.22,778.22,286.36,0.0
O00019852,C999993872215,P045,2024-02-27,,1,279.47,279.47,92.91,0.0
O00019853,C999993872215,P049,2023-10-10,,1,759.43,759.43,254.05,0.0
O00019854,C999993872215,P042,2024-04-04,,1,318.94,318.94,151.46,0.0
O00019855,C999993872215,P001,2024-09-20,,1,545.39,545.39,227.08,0.0
O00019856,C999993872215,P022,2024-07-04,,1,1390.59,1390.59,488.05,0.0
O00019857,C999993872215,P045,2024-01-18,,1,286.13,286.13,97.23,0.0
O00019858,C999993872215,P047,2023-12-14,,1,246.72,246.72,118.3,0.0
O00019859,C999993856544,P039,2023-01-29,,1,226.54,226.54,84.4,0.0
O00019860,C999993856544,P025,2023-01-30,,1,431.4,431.4,155.52,0.0
O00019861,C999993856544,P050,2023-03-09,M001,1,765.12,650.35,378.11,0.15
O00019862,C999993856544,P017,2023-03-29,M001,1,680.41,578.35,252.57,0.15
O00019863,C999993856544,P027,2024-08-26,,1,269.57,269.57,96.0,0.0
O00019864,C999993856544,P043,2023-05-12,,1,308.84,308.84,131.81,0.0
O00019865,C999993856544,P025,2024-03-12,,2,518.67,1037.34,406.07,0.0
O00019866,C999993856544,P042,2023-12-02,M005,1,434.23,356.07,156.61,0.18
O00019867,C999993856544,P026,2023-02-24,,2,220.87,441.74,193.54,0.0
O00019868,C999993856544,P005,2024-07-06,,1,243.66,243.66,107.26,0.0
O00019869,C999993856544,P013,2023-08-29,,1,1277.5,1277.5,544.64,0.0
O00019870,C999993856544,P025,2024-02-04,,1,427.45,427.45,148.24,0.0
O00019871,C999993872179,P035,2024-06-20,,1,534.31,534.31,239.78,0.0
O00019872,C999993872179,P040,2024-01-10,M006,1,144.36,127.04,64.38,0.12
O00019873,C999993872179,P046,2023-08-11,,1,202.92,202.92,84.9,0.0
O00019874,C999993872179,P049,2023-09-26,,1,714.18,714.18,332.47,0.0
O00019875,C999993872179,P025,2023-06-08,,1,383.8,383.8,147.11,0.0
O00019876,C999993872179,P009,2023-03-26,,1,272.96,272.96,103.52,0.0
O00019877,C999993872179,P026,2023-05-05,,2,268.03,536.06,162.4,0.0
O00019878,C999993872179,P045,2024-02-22,,1,240.09,240.09,115.43,0.0
O00019879,C999993872179,P008,2024-03-06,,1,358.05,358.05,127.5,0.0
O00019880,C999993856486,P036,2024-09-21,,1,66.43,66.43,20.06,0.0
O00019881,C999993856486,P026,2024-01-30,,2,216.64,433.28,193.5,0.0
O00019882,C999993856486,P002,2023-01-08,,1,430.8,430.8,207.98,0.0
O00019883,C999993856486,P041,2023-09-01,,2,394.46,788.92,352.92,0.0
O00019884,C999993856486,P014,2023-04-02,,1,295.13,295.13,122.65,0.0
O00019885,C999993856486,P006,2023-06-14,M002,2,399.24,638.78,341.72,0.2
O00019886,C999993856464,P017,2023-07-16,,1,501.24,501.24,230.31,0.0
O00019887,C999993856464,P037,2024-03-15,,1,920.93,920.93,399.13,0.0
O00019888,C999993856464,P017,2023-02-14,,1,546.88,546.88,184.8,0.0
O00019889,C999993856464,P030,2024-03-17,,1,928.07,928.07,391.36,0.0
O00019890,C999993856464,P017,2024-02-14,M007,1,559.08,514.35,229.69,0.08
O00019891,C999993856464,P021,2024-03-24,,1,1530.41,1530.41,719.03,0.0
O00019892,C999993856464,P008,2024-04-21,,1,462.2,462.2,183.75,0.0
O00019893,C999993856464,P046,2024-05-03,,1,225.35,225.35,73.47,0.0
O00019894,C999993856464,P050,2023-03-03,M001,1,698.65,593.85,216.43,0.15
O00019895,C999993856464,P043,2024-08-10,,1,215.91,215.91,86.98,0.0
O00019896,C999993856464,P048,2023-03-23,M001,1,732.92,622.98,289.56,0.15
O00019897,C999993856464,P028,2024-03-25,,1,237.59,237.59,99.13,0.0
O00019898,C999993856464,P010,2024-08-31,,1,62.96,62.96,19.12,0.0
O00019899,C999993856464,P016,2024-04-09,,1,710.7,710.7,254.5,0.0
O00019900,C999993856464,P045,2024-03-11,,1,259.95,259.95,128.53,0.0
O00019901,C999993856464,P033,2023-11-01,M004,1,89.75,67.31,36.98,0.25
O00019902,C999993856464,P049,2024-09-11,,1,743.61,743.61,262.69,0.0
O00019903,C999993856464,P031,2023-12-01,M005,1,851.25,698.03,322.4,0.18
O00019904,C999993856464,P003,2024-07-10,,1,527.34,527.34,234.19,0.0
O00019905,C999993856464,P042,2023-06-12,M002,1,391.09,312.87,138.57,0.2
O00019906,C999993872113,P035,2023-09-07,,1,698.6,698.6,288.14,0.0
O00019907,C999993872113,P038,2023-10-27,,2,153.38,306.76,124.16,0.0
O00019908,C999993872113,P042,2024-03-09,,1,375.69,375.69,129.4,0.0
O00019909,C999993872113,P033,2024-02-01,,1,66.72,66.72,24.22,0.0
O00019910,C999993872113,P018,2024-08-25,,1,951.67,951.67,385.63,0.0
O00019911,C999993872113,P003,2024-05-05,,1,541.44,541.44,220.97,0.0
O00019912,C999993872113,P009,2024-03-26,,1,305.7,305.7,99.87,0.0
O00019913,C999993872113,P028,2024-03-22,,1,263.43,263.43,85.22,0.0
O00019914,C999993872113,P042,2023-11-19,,1,338.4,338.4,147.4,0.0
O00019915,C999993872099,P026,2023-07-22,,1,269.73,269.73,96.6,0.0
O00019916,C999993872099,P009,2024-02-21,,1,244.39,244.39,113.89,0.0
O00019917,C999993872099,P015,2023-05-23,,1,158.7,158.7,64.57,0.0
O00019918,C999993872099,P032,2023-10-08,,1,740.89,740.89,364.15,0.0
O00019919,C999993872099,P047,2023-08-16,M003,1,286.16,257.54,119.57,0.1
O00019920,C999993872099,P049,2023-07-23,,1,576.08,576.08,204.83,0.0
O00019921,C999993872055,P032,2024-06-08,,1,661.05,661.05,314.31,0.0
O00019922,C999993872055,P022,2024-09-09,,1,1304.9,1304.9,593.84,0.0
O00019923,C999993872055,P019,2024-07-21,,1,250.89,250.89,79.63,0.0
O00019924,C999993872055,P025,2023-03-16,,1,474.81,474.81,217.84,0.0
O00019925,C999993872055,P045,2024-03-10,,1,244.55,244.55,76.68,0.0
O00019926,C999993872055,P022,2023-01-19,,1,1438.04,1438.04,670.16,0.0
O00019927,C999993872055,P030,2023-04-14,,1,882.8,882.8,282.44,0.0
O00019928,C999993872055,P035,2024-06-05,,1,667.88,667.88,272.16,0.0
O00019929,C999993872055,P040,2023-10-17,,1,115.08,115.08,35.5,0.0
O00019930,C999993872044,P050,2024-07-13,,1,797.35,797.35,352.69,0.0
O00019931,C999993872044,P030,2024-04-23,,1,694.13,694.13,244.58,0.0
O00019932,C999993872044,P009,2023-04-24,,1,289.92,289.92,114.81,0.0
O00019933,C999993872044,P005,2024-06-04,,1,287.41,287.41,129.28,0.0
O00019934,C999993872044,P017,2024-06-15,,2,586.32,1172.64,547.81,0.0
O00019935,C999993872044,P023,2023-11-13,,1,176.73,176.73,55.11,0.0
O00019936,C999993872044,P007,2023-07-21,,1,497.7,497.7,159.21,0.0
O00019937,C999993872044,P024,2024-05-14,,1,184.31,184.31,80.88,0.0
O00019938,C999993872044,P049,2023-01-30,,1,623.95,623.95,219.41,0.0
O00019939,C999993872033,P016,2023-03-31,M001,1,514.88,437.65,212.39,0.15
O00019940,C999993872033,P050,2023-05-01,,1,910.29,910.29,419.52,0.0
O00019941,C999993872033,P048,2024-03-13,,1,1008.58,1008.58,422.76,0.0
O00019942,C999993872033,P039,2023-05-27,,2,195.09,390.18,146.49,0.0
O00019943,C999993872033,P037,2023-02-09,,1,727.66,727.66,225.86,0.0
O00019944,C999993872033,P039,2023-08-16,M003,1,195.51,175.96,69.95,0.1
O00019945,C999993872022,P008,2024-05-11,,1,413.11,413.11,206.53,0.0
O00019946,C999993872022,P018,2024-06-09,,1,902.27,902.27,279.39,0.0
O00019947,C999993872022,P049,2023-06-14,M002,1,665.77,532.62,199.95,0.2
O00019948,C999993872022,P016,2024-02-03,,1,536.8,536.8,161.6,0.0
O00019949,C999993872022,P028,2023-06-20,,1,271.26,271.26,106.99,0.0
O00019950,C999993872022,P026,2024-01-11,M006,1,216.11,190.18,90.85,0.12
O00019951,C999993872022,P030,2024-02-06,,1,676.19,676.19,319.38,0.0
O00019952,C999993872022,P049,2023-06-23,,1,774.41,774.41,278.55,0.0
O00019953,C999993872022,P018,2023-05-29,,2,1177.99,2355.98,777.57,0.0
O00019954,C999993872022,P043,2023-12-23,,1,214.33,214.33,70.09,0.0
O00019955,C999993872022,P012,2023-09-03,,1,283.38,283.38,87.93,0.0
O00019956,C999993872022,P048,2024-01-17,,2,999.18,1998.36,802.84,0.0
O00019957,C999993872022,P028,2023-04-18,,1,191.31,191.31,78.47,0.0
O00019958,C999993872022,P019,2024-01-04,M006,1,218.18,192.0,90.47,0.12
O00019959,C999993872022,P050,2024-04-04,,1,759.67,759.67,274.27,0.0
O00019960,C999993872022,P015,2023-11-27,,1,211.25,211.25,71.9,0.0
O00019961,C999993872022,P015,2023-03-28,,1,171.89,171.89,78.51,0.0
O00019962,C999993872022,P040,2023-12-08,,1,128.43,128.43,44.0,0.0
O00019963,C999993856453,P025,2024-04-01,,1,420.17,420.17,130.66,0.0
O00019964,C999993856453,P018,2024-04-27,,1,1065.95,1065.95,328.78,0.0
O00019965,C999993856453,P019,2023-11-07,M004,2,215.99,323.98,196.58,0.25
O00019966,C999993856453,P035,2024-07-11,,1,648.09,648.09,299.74,0.0
O00019967,C999993856453,P038,2023-11-13,,1,152.44,152.44,51.09,0.0
O00019968,C999993856453,P021,2024-03-26,,2,1553.91,3107.82,1279.28,0.0
O00019969,C999993856453,P025,2023-10-20,,1,462.11,462.11,209.44,0.0
O00019970,C999993856453,P050,2023-08-04,,1,670.18,670.18,222.47,0.0
O00019971,C999993856453,P020,2023-05-20,,1,91.58,91.58,44.69,0.0
O00019972,C999993856453,P021,2023-09-09,,1,1316.48,1316.48,435.21,0.0
O00019973,C999993856453,P022,2023-07-23,,1,1546.3,1546.3,601.65,0.0
O00019974,C999993856453,P023,2024-04-05,,1,199.29,199.29,72.21,0.0
O00019975,C999993856453,P048,2023-02-17,,1,1030.51,1030.51,443.59,0.0
O00019976,C999993856453,P032,2024-04-05,,2,725.94,1451.88,581.78,0.0
O00019977,C999993856453,P017,2023-03-17,,2,674.61,1349.22,635.49,0.0
O00019978,C999993856419,P025,2023-10-06,,1,497.81,497.81,225.32,0.0
O00019979,C999993856419,P009,2023-12-07,,1,285.31,285.31,86.1,0.0
O00019980,C999993856419,P038,2023-12-06,,1,153.86,153.86,61.94,0.0
O00019981,C999993856419,P045,2024-04-17,,1,239.14,239.14,113.99,0.0
O00019982,C999993856419,P015,2024-05-31,,1,196.86,196.86,67.39,0.0
O00019983,C999993856419,P040,2023-01-21,,1,115.98,115.98,38.8,0.0
O00019984,C999993856419,P048,2024-01-10,,2,906.39,1812.78,770.12,0.0
O00019985,C999993856419,P049,2023-01-30,,2,738.88,1477.76,694.38,0.0
O00019986,C999993856419,P030,2023-10-24,,1,873.62,873.62,417.73,0.0
O00019987,C999993856419,P013,2023-10-22,,1,1065.74,1065.74,344.99,0.0
O00019988,C999993856419,P035,2024-01-01,M006,1,511.12,449.79,241.93,0.12
O00019989,C999993856419,P025,2024-07-05,,1,465.4,465.4,230.16,0.0
O00019990,C999993856419,P038,2023-06-04,M002,1,155.76,124.61,60.81,0.2
O00019991,C999993856419,P021,2023-11-19,,1,1593.81,1593.81,513.4,0.0
O00019992,C999993856419,P048,2024-06-19,,1,898.05,898.05,280.94,0.0
O00019993,C999993869144,P016,2023-06-09,M002,1,635.96,508.77,214.11,0.2
O00019994,C999993869144,P039,2023-01-11,,1,195.64,195.64,93.58,0.0
O00019995,C999993869144,P007,2023-07-22,,1,421.41,421.41,152.75,0.0
O00019996,C999993869144,P021,2024-08-08,,1,1450.97,1450.97,529.56,0.0
O00019997,C999993869144,P048,2024-06-26,,1,1036.67,1036.67,488.6,0.0
O00019998,C999993869144,P004,2023-07-17,,1,424.39,424.39,142.1,0.0
O00019999,C999993869144,P038,2023-12-19,,1,192.62,192.62,76.19,0.0
O00020000,C999993869144,P019,2024-02-18,,1,203.04,203.04,99.12,0.0
O00020001,C999993869144,P002,2023-09-15,,1,385.68,385.68,157.9,0.0
O00020002,C999993869144,P049,2024-06-16,,1,575.54,575.54,256.49,0.0
O00020003,C999993869144,P031,2024-09-21,,1,707.94,707.94,237.19,0.0
O00020004,C999993869144,P050,2023-03-21,M001,1,814.2,692.07,261.63,0.15
O00020005,C999993869144,P023,2023-07-08,,1,180.05,180.05,89.05,0.0
O00020006,C999993869144,P004,2024-09-02,,1,439.66,439.66,178.74,0.0
O00020007,C999993869144,P032,2023-07-05,,1,809.51,809.51,268.14,0.0
O00020008,C999993869155,P023,2023-12-18,,2,189.78,379.56,154.58,0.0
O00020009,C999993869155,P005,2024-04-17,,1,236.61,236.61,113.72,0.0
O00020010,C999993869155,P017,2024-04-08,,1,574.92,574.92,285.34,0.0
O00020011,C999993869155,P030,2023-01-07,,1,903.17,903.17,293.11,0.0
O00020012,C999993869155,P033,2024-08-17,,1,74.86,74.86,30.77,0.0
O00020013,C999993869155,P048,2023-11-25,,1,862.32,862.32,313.07,0.0
O00020014,C999993869155,P010,2024-05-09,,1,70.69,70.69,31.24,0.0
O00020015,C999993869155,P028,2023-09-26,,1,194.19,194.19,61.42,0.0
O00020016,C999993869155,P017,2023-04-06,,1,550.41,550.41,257.93,0.0
O00020017,C999993869155,P016,2023-12-24,,1,557.68,557.68,246.59,0.0
O00020018,C999993869155,P021,2024-05-25,,1,1536.4,1536.4,572.08,0.0
O00020019,C999993869155,P037,2023-07-17,,1,674.6,674.6,280.2,0.0
O00020020,C999993869155,P041,2023-07-11,,1,362.63,362.63,142.47,0.0
O00020021,C999993869155,P018,2023-07-18,,1,936.71,936.71,311.01,0.0
O00020022,C999993869155,P040,2023-09-02,,1,107.72,107.72,52.23,0.0
O00020023,C999993869155,P036,2023-01-17,,1,54.19,54.19,26.96,0.0
O00020024,C999993869155,P048,2023-10-23,,1,891.79,891.79,406.74,0.0
O00020025,C999993869155,P009,2023-06-07,,1,236.05,236.05,92.41,0.0
O00020026,C999993869155,P008,2024-02-25,,1,372.71,372.71,182.01,0.0
O00020027,C999993869155,P020,2023-04-28,,1,83.24,83.24,37.25,0.0
O00020028,C999993871801,P043,2024-01-18,,1,300.26,300.26,99.35,0.0
O00020029,C999993871801,P013,2023-07-04,,1,1282.7,1282.7,538.52,0.0
O00020030,C999993871801,P016,2024-08-19,,1,492.18,492.18,236.88,0.0
O00020031,C999993871801,P002,2024-08-03,,1,471.4,471.4,211.13,0.0
O00020032,C999993871801,P033,2024-05-17,,1,65.52,65.52,27.1,0.0
O00020033,C999993871801,P047,2024-09-05,,1,257.89,257.89,86.73,0.0
O00020034,C999993856408,P038,2024-02-09,,1,154.98,154.98,62.25,0.0
O00020035,C999993856408,P023,2023-01-13,,1,152.81,152.81,51.03,0.0
O00020036,C999993856408,P039,2023-09-23,,1,236.25,236.25,83.29,0.0
O00020037,C999993856408,P031,2023-09-27,,1,729.26,729.26,288.38,0.0
O00020038,C999993856408,P021,2024-05-26,,2,1203.58,2407.16,872.05,0.0
O00020039,C999993856408,P047,2024-05-01,,1,259.69,259.69,126.66,0.0
O00020040,C999993856408,P009,2024-06-14,,1,271.03,271.03,90.13,0.0
O00020041,C999993856408,P008,2024-01-18,,1,406.93,406.93,202.93,0.0
O00020042,C999993856408,P023,2024-09-14,,1,197.45,197.45,96.35,0.0
O00020043,C999993856408,P040,2023-04-20,,1,112.54,112.54,36.92,0.0
O00020044,C999993856408,P021,2023-08-03,,1,1571.08,1571.08,618.76,0.0
O00020045,C999993856408,P019,2024-03-11,,1,254.55,254.55,115.02,0.0
O00020046,C999993871776,P031,2023-10-07,,1,721.39,721.39,345.22,0.0
O00020047,C999993871776,P035,2024-06-06,,1,481.53,481.53,156.37,0.0
O00020048,C999993871776,P004,2023-11-11,M004,1,431.25,323.44,170.71,0.25
O00020049,C999993871776,P035,2024-04-03,,2,487.99,975.98,380.8,0.0
O00020050,C999993871776,P029,2024-02-26,,1,351.94,351.94,134.12,0.0
O00020051,C999993871776,P026,2024-09-27,,1,210.9,210.9,78.19,0.0
O00020052,C999993871776,P032,2023-05-16,,1,747.08,747.08,236.46,0.0
O00020053,C999993871776,P050,2023-03-26,,1,648.06,648.06,280.14,0.0
O00020054,C999993871776,P001,2024-04-04,,1,527.92,527.92,227.26,0.0
O00020055,C999993871776,P012,2024-05-16,,1,246.39,246.39,106.94,0.0
O00020056,C999993871776,P047,2023-08-18,,1,316.1,316.1,131.22,0.0
O00020057,C999993871776,P020,2023-05-22,,1,65.49,65.49,22.58,0.0
O00020058,C999993871765,P048,2024-07-28,,1,806.11,806.11,358.38,0.0
O00020059,C999993871765,P025,2024-06-27,,1,435.62,435.62,217.51,0.0
O00020060,C999993871765,P015,2024-03-13,,1,170.89,170.89,69.93,0.0
O00020061,C999993871765,P023,2023-10-12,,1,200.02,200.02,77.96,0.0
O00020062,C999993871765,P011,2024-07-30,,2,668.18,1336.36,551.01,0.0
O00020063,C999993871765,P008,2023-03-27,,1,429.98,429.98,188.1,0.0
O00020064,C999993871765,P026,2023-12-24,,1,209.69,209.69,67.19,0.0
O00020065,C999993871765,P034,2023-01-23,,1,226.53,226.53,90.34,0.0
O00020066,C999993871765,P030,2023-12-21,,1,647.93,647.93,256.82,0.0
O00020067,C999993871765,P042,2023-02-20,,1,450.57,450.57,166.03,0.0
O00020068,C999993871765,P014,2023-11-30,,1,345.2,345.2,113.86,0.0
O00020069,C999993871765,P047,2023-09-29,,1,304.54,304.54,99.87,0.0
O00020070,C999993871765,P032,2024-01-28,,1,607.51,607.51,280.07,0.0
O00020071,C999993871765,P019,2023-08-31,,1,285.68,285.68,103.82,0.0
